Year,rank,Precipitation (inches),Month
2024,94,0.08,July
2023,125,0.02,July
2022,65,0.15,July
2021,16,0.29,July
2020,111,0.05,July
2019,95,0.08,July
2018,39,0.22,July
2017,91,0.09,July
2016,105,0.06,July
2015,2,0.66,July
2014,40,0.22,July
2013,18,0.28,July
2012,23,0.26,July
2011,41,0.22,July
2010,102,0.07,July
2009,112,0.05,July
2024,55,0.23,August
2023,2,0.79,August
2022,19,0.42,August
2021,95,0.1,August
2020,96,0.1,August
2019,84,0.13,August
2018,119,0.04,August
2017,44,0.27,August
2016,109,0.06,August
2015,102,0.08,August
2014,17,0.45,August
2013,22,0.38,August
2012,39,0.3,August
2011,97,0.1,August
2010,98,0.1,August
2009,86,0.12,August
2024,102,0.13,August
2023,31,0.61,September
2022,21,0.8,September
2021,53,0.36,September
2020,125,0.04,September
2019,32,0.61,September
2018,121,0.06,September
2017,47,0.43,September
2016,110,0.1,September
2015,58,0.33,September
2014,25,0.72,September
2013,22,0.77,September
2012,111,0.1,September
2011,66,0.28,September
2010,92,0.16,September
2009,115,0.09,September
2024,108,0.34,October
2023,101,0.46,October
2022,117,0.17,October
2021,4,3.66,October
2020,128,0.05,October
2019,120,0.16,October
2018,83,0.7,October
2017,109,0.34,October
2016,2,3.82,October
2015,74,0.9,October
2014,64,1.06,October
2013,112,0.26,October
2012,70,0.99,October
2011,38,1.54,October
2010,7,3,October
2009,22,2.07,October
2024,18,4.24,November
2023,92,1.35,November
2022,71,1.98,November
2021,110,0.95,November
2020,98,1.19,November
2019,85,1.61,November
2018,44,2.81,November
2017,42,2.98,November
2016,67,2.16,November
2015,74,1.87,November
2014,75,1.84,November
2013,106,0.99,November
2012,35,3.57,November
2011,81,1.69,November
2010,52,2.6,November
2009,107,0.99,November